1757-02-01 00:00:01;1757-03-01 00:00:00;1757-02;-2.5;Y
1757-03-01 00:00:01;1757-04-01 00:00:00;1757-03;-2.0;Y
1757-04-01 00:00:01;1757-05-01 00:00:00;1757-04;6.7;Y
1757-05-01 00:00:01;1757-06-01 00:00:00;1757-05;8.6;Y
1757-06-01 00:00:01;1757-07-01 00:00:00;1757-06;15.4;Y
1757-07-01 00:00:01;1757-08-01 00:00:00;1757-07;19.9;Y
1757-08-01 00:00:01;1757-09-01 00:00:00;1757-08;15.9;Y
1757-09-01 00:00:01;1757-10-01 00:00:00;1757-09;11.0;Y
1757-10-01 00:00:01;1757-11-01 00:00:00;1757-10;3.0;Y
1757-11-01 00:00:01;1757-12-01 00:00:00;1757-11;2.4;Y
1757-12-01 00:00:01;1758-01-01 00:00:00;1757-12;-2.7;Y
1758-01-01 00:00:01;1758-02-01 00:00:00;1758-01;-5.8;Y
1758-02-01 00:00:01;1758-03-01 00:00:00;1758-02;-5.5;Y
1758-03-01 00:00:01;1758-04-01 00:00:00;1758-03;-3.2;Y
1758-04-01 00:00:01;1758-05-01 00:00:00;1758-04;1.8;Y
1758-05-01 00:00:01;1758-06-01 00:00:00;1758-05;9.4;Y
1758-06-01 00:00:01;1758-07-01 00:00:00;1758-06;14.3;Y
1758-07-01 00:00:01;1758-08-01 00:00:00;1758-07;16.6;Y
1758-08-01 00:00:01;1758-09-01 00:00:00;1758-08;16.2;Y
1758-09-01 00:00:01;1758-10-01 00:00:00;1758-09;9.0;Y
1758-10-01 00:00:01;1758-11-01 00:00:00;1758-10;3.6;Y
1758-11-01 00:00:01;1758-12-01 00:00:00;1758-11;2.5;Y
1758-12-01 00:00:01;1759-01-01 00:00:00;1758-12;-4.7;Y
1759-01-01 00:00:01;1759-02-01 00:00:00;1759-01;-0.9;Y
1759-02-01 00:00:01;1759-03-01 00:00:00;1759-02;0.4;Y
1759-03-01 00:00:01;1759-04-01 00:00:00;1759-03;0.3;Y
1759-04-01 00:00:01;1759-05-01 00:00:00;1759-04;4.2;Y
1759-05-01 00:00:01;1759-06-01 00:00:00;1759-05;6.8;Y
1759-06-01 00:00:01;1759-07-01 00:00:00;1759-06;15.9;Y
1759-07-01 00:00:01;1759-08-01 00:00:00;1759-07;17.9;Y
1759-08-01 00:00:01;1759-09-01 00:00:00;1759-08;17.0;Y
1759-09-01 00:00:01;1759-10-01 00:00:00;1759-09;10.4;Y
1759-10-01 00:00:01;1759-11-01 00:00:00;1759-10;5.8;Y
1759-11-01 00:00:01;1759-12-01 00:00:00;1759-11;0.3;Y
1759-12-01 00:00:01;1760-01-01 00:00:00;1759-12;-5.2;Y
1760-01-01 00:00:01;1760-02-01 00:00:00;1760-01;-10.5;Y
1760-02-01 00:00:01;1760-03-01 00:00:00;1760-02;-3.3;Y
1760-03-01 00:00:01;1760-04-01 00:00:00;1760-03;-2.6;Y
1760-04-01 00:00:01;1760-05-01 00:00:00;1760-04;3.1;Y
1760-05-01 00:00:01;1760-06-01 00:00:00;1760-05;9.4;Y
1760-06-01 00:00:01;1760-07-01 00:00:00;1760-06;14.6;Y
1760-07-01 00:00:01;1760-08-01 00:00:00;1760-07;17.2;Y
